"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id"
4465.51918144552,-2.07318559103474,0.207768514539394,-9.97834342528184,1.89605799971601e-23,5.04529880442078e-21,"LOC105042013"
1233.26484963958,-2.66464236031574,0.268987917506209,-9.90617863069717,3.91328313263844e-23,1.02919346388391e-20,"LOC105054212"
1334.99766873475,-2.54922710076768,0.257792423734227,-9.88868122593015,4.66127739788665e-23,1.21182496764828e-20,"LOC105045820"
643.09014152163,-2.47330961327623,0.250780589258644,-9.86244438051531,6.05568807546918e-23,1.53896126843777e-20,"LOC105041187"
2119.50422226135,-2.2011197260133,0.224096893071556,-9.82217868281851,9.03690028601035e-23,2.24611660075805e-20,"LOC105053271"
575.843364562332,-2.47357300226314,0.255057740942264,-9.69809029565221,3.07194380965001e-22,7.55230707463739e-20,"LOC105040251"
618.612864662054,-2.77744589700208,0.289369795041552,-9.59825781610431,8.13070635438994e-22,1.89732836393171e-19,"LOC105045832"
1205.67181088582,-2.53726911420826,0.264349007956952,-9.59817906568972,8.13691976750269e-22,1.89732836393171e-19,"LOC105046857"
7198.13546813349,-1.98537390441884,0.207162877440153,-9.58363742071689,9.36860466651002e-22,2.16223571782779e-19,"LOC105035033"
4503.43929044296,-2.10741639886047,0.220782980800073,-9.54519406896136,1.35853004897013e-21,3.1037608734956e-19,"LOC105039449"
3531.7893284286,-1.94937880249188,0.204715939598773,-9.52235964777589,1.69290609855193e-21,3.82901501370476e-19,"LOC105033038"
1553.83843975271,-2.10732978331884,0.222257596267782,-9.4814747333984,2.50714358810551e-21,5.50549258988062e-19,"LOC105041111"
11152.4608159553,-2.18372819296937,0.230506937650608,-9.47358988508785,2.70387891917356e-21,5.88041667248727e-19,"LOC105057611"
152.258215098535,-4.56902455470286,0.483411683714516,-9.45162210312059,3.3361992364008e-21,7.18649088846794e-19,"LOC105056101"
1185.81322029699,-2.12207052609416,0.225702355202148,-9.40207524282834,5.34973360168451e-21,1.13084368787757e-18,"LOC105046338"
4427.23176018735,-1.95460559073893,0.209293395997157,-9.33906959379395,9.71843377738126e-21,2.03529199237786e-18,"LOC105045611"
1802.32173966048,-2.02772924532283,0.217633265280074,-9.31718431331409,1.19468571292681e-20,2.43436049143951e-18,"LOC105054467"
3751.85459298745,-2.4804567023306,0.26746274896246,-9.27402680168648,1.79247872382291e-20,3.55634068205497e-18,"LOC105056682"
2412.54021023066,-1.92210372263829,0.210590800778172,-9.12719698835732,7.02957339189697e-20,1.35893069211902e-17,"LOC105056700"
6501.42938430886,-2.01612414063994,0.222220714626066,-9.07262018319265,1.16188720391289e-19,2.18996373150849e-17,"LOC105046284"
352.907458370879,-3.11360559278116,0.345895438302554,-9.00158038527729,2.22491480249378e-19,4.15167522795896e-17,"LOC105049082"
1310.22558708112,-2.26866400551621,0.252049449825074,-9.00086870687755,2.23938623136879e-19,4.15167522795896e-17,"LOC105032198"
555.759290993804,-2.303023656003,0.256378570100288,-8.9829023350201,2.63716593379132e-19,4.84938366589367e-17,"LOC105053163"
1840.64454086417,-2.04865524549204,0.228605066837463,-8.96154785120587,3.20152215897877e-19,5.83967969288562e-17,"LOC105046761"
